"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","3 - Deve localizar um produto com _id válido","","2026-09-21","passed","2026-09-21","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","168","CT-API-006 - Deve retornar os dados atualizados do usuário","","2026-09-21","failed","2026-09-21","","Validar alteração do usuário","",""
"","148","CT-API-005 - Deve atualizar os dados do usuário","","2026-09-21","failed","2026-09-21","","Atualizar usuário existente","",""
"","65","4 - Não deve permitir preço negativo","","2026-09-21","passed","2026-09-21","","CT-API-001 - Cadastro de Produtos","",""
"","67","Deve rejeitar login - E-mail inválido","","2026-09-21","passed","2026-09-21","","CT-API-009 - Login inválido","",""
"","142","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-09-21","passed","2026-09-21","","Listar usuários","",""
"","915","4 - Deve validar email inválido","","2026-09-21","passed","2026-09-21","","CT-UI-002 - Login de usuário","",""
"","83","CT-API-003 - Deve retornar mensagem de validação para ID inválido","","2026-09-21","passed","2026-09-21","","Buscar usuário com ID inválido","",""
"","950","6 - Deve validar senha obrigatória","","2026-09-21","passed","2026-09-21","","CT-UI-002 - Login de usuário","",""
"","124","CT-API-005 - Deve retornar 405 Method Not Allowed ao tentar atualizar um usuário com PATCH","","2026-09-21","passed","2026-09-21","","Atualizar usuário com PATCH","",""
"","72","CT-API-003 - Deve informar que o ID precisa ter 16 caracteres alfanuméricos","","2026-09-21","passed","2026-09-21","","Validação de formato do ID","",""
"","72","2 - Deve retornar todos os campos do produto","","2026-09-21","passed","2026-09-21","","CT-API-002 - Buscar Produto por ID","",""
"","223","CT-API-005 - Deve atualizar apenas o e-mail de um usuário existente mantendo o mesmo _id","","2026-09-21","failed","2026-09-21","","Atualizar usuário com PATCH","",""
"","113","2 - O produto não deve mais existir após a exclusão","","2026-09-21","passed","2026-09-21","","CT-API-006 - Excluir Produto","",""
"","181","CT-API-008 - Deve excluir um usuário e validar que ele não existe mais","","2026-09-21","passed","2026-09-21","","Excluir Usuário (DELETE)","",""
"","79","CT-API-001 - Deve criar um novo usuário","","2026-09-21","passed","2026-09-21","","Cadastro de usuário com e-mail dinâmico","",""
"","53","1 - Deve confirmar que o produto foi removido com sucesso","","2026-09-21","passed","2026-09-21","","CT-API-007 - Validar Exclusão do Produto","",""
"","71","5 - Deve permitir cadastrar produto sem estoque","","2026-09-21","passed","2026-09-21","","CT-API-001 - Cadastro de Produtos","",""
"","124","CT-API-003 - Deve criar e buscar um usuário pelo ID","","2026-09-21","passed","2026-09-21","","CRUD Usuário - Buscar por ID","",""
"","61","Deve rejeitar login - Senha inválida","","2026-09-21","passed","2026-09-21","","CT-API-009 - Login inválido","",""
"","65","2 - Não deve permitir cadastro sem token","","2026-09-21","passed","2026-09-21","","CT-API-001 - Cadastro de Produtos","",""
"","72","3 - Nenhum valor antigo deve permanecer após a atualização","","2026-09-21","passed","2026-09-21","","CT-API-005 - Validar Atualização do Produto","",""
"","181","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-09-21","failed","2026-09-21","","Cadastro de usuário","",""
"","85","2 - Deve manter o mesmo ID após a atualização","","2026-09-21","passed","2026-09-21","","CT-API-005 - Validar Atualização do Produto","",""
"","75","2 - Deve localizar o produto pelo nome","","2026-09-21","passed","2026-09-21","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","59","1 - Deve buscar um produto pelo ID com sucesso","","2026-09-21","passed","2026-09-21","","CT-API-002 - Buscar Produto por ID","",""
"","126","3 - Não deve permitir cadastrar produto com nome duplicado","","2026-09-21","passed","2026-09-21","","CT-API-001 - Cadastro de Produtos","",""
"","85","CT-API-002 - Deve realizar login com sucesso","","2026-09-21","passed","2026-09-21","","Login de usuário","",""
