"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","4 - Não deve permitir preço negativo","","2026-07-15","passed","2026-07-15","","CT-API-001 - Cadastro de Produtos","",""
"","67","3 - O ID retornado deve ser o mesmo informado na requisição","","2026-07-15","passed","2026-07-15","","CT-API-002 - Buscar Produto por ID","",""
"","618","5 - Deve validar email obrigatório","","2026-07-15","passed","2026-07-15","","CT-UI-002 - Login de usuário","",""
"","1679","1 - Deve realizar login com sucesso","","2026-07-15","passed","2026-07-15","","CT-UI-002 - Login de usuário","",""
"","198","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-07-15","failed","2026-07-15","","Cadastro de usuário","",""
"","127","CT-API-010 - Deve criar usuário e rejeitar segundo cadastro com e-mail duplicado","","2026-07-15","passed","2026-07-15","","CT-API-010 - Cadastro de Usuário com E-mail Duplicado","",""
"","1158","3 - Deve informar senha incorreta","","2026-07-15","passed","2026-07-15","","CT-UI-002 - Login de usuário","",""
"","77","CT-API-002 - Deve realizar login com sucesso","","2026-07-15","passed","2026-07-15","","Login de usuário","",""
"","68","1 - Deve listar todos os produtos","","2026-07-15","passed","2026-07-15","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","63","1 - Deve consultar o produto atualizado","","2026-07-15","passed","2026-07-15","","CT-API-005 - Validar Atualização do Produto","",""
"","77","2 - Não deve permitir cadastro sem token","","2026-07-15","passed","2026-07-15","","CT-API-001 - Cadastro de Produtos","",""
"","5934","1 - Deve criar um novo usuário com sucesso","","2026-07-15","passed","2026-07-15","","CT-UI-001 - Cadastro de usuário","",""
"","1245","4 - Deve validar senha obrigatória","","2026-07-15","passed","2026-07-15","","CT-UI-001 - Cadastro de usuário","",""
"","79","4 - Os dados do produto localizado devem corresponder ao cadastro","","2026-07-15","passed","2026-07-15","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","74","2 - Deve retornar todos os campos do produto","","2026-07-15","passed","2026-07-15","","CT-API-002 - Buscar Produto por ID","",""
"","70","1 - Deve cadastrar um produto com sucesso","","2026-07-15","passed","2026-07-15","","CT-API-001 - Cadastro de Produtos","",""
"","1334","2 - Deve informar que o usuário não foi encontrado","","2026-07-15","passed","2026-07-15","","CT-UI-002 - Login de usuário","",""
"","184","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-07-15","passed","2026-07-15","","Listar usuários","",""
"","168","CT-API-001.2 - Cadastro com campos vazios","","2026-07-15","failed","2026-07-15","","Cadastro de usuário","",""
"","75","CT-API-001 - Deve criar um novo usuário","","2026-07-15","passed","2026-07-15","","Cadastro de usuário com e-mail dinâmico","",""
"","57","1 - Deve excluir um produto com sucesso","","2026-07-15","passed","2026-07-15","","CT-API-006 - Excluir Produto","",""
"","132","3 - Não deve permitir cadastrar produto com nome duplicado","","2026-07-15","passed","2026-07-15","","CT-API-001 - Cadastro de Produtos","",""
"","57","1 - Deve confirmar que o produto foi removido com sucesso","","2026-07-15","passed","2026-07-15","","CT-API-007 - Validar Exclusão do Produto","",""
"","72","3 - Nenhum valor antigo deve permanecer após a atualização","","2026-07-15","passed","2026-07-15","","CT-API-005 - Validar Atualização do Produto","",""
"","80","5 - Deve permitir cadastrar produto sem estoque","","2026-07-15","passed","2026-07-15","","CT-API-001 - Cadastro de Produtos","",""
"","1736","2 - Não deve permitir email já cadastrado","","2026-07-15","passed","2026-07-15","","CT-UI-001 - Cadastro de usuário","",""
"","78","2 - Deve localizar o produto pelo nome","","2026-07-15","passed","2026-07-15","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","75","Deve rejeitar login - E-mail inválido","","2026-07-15","passed","2026-07-15","","CT-API-009 - Login inválido","",""
"","78","CT-API-003 - Deve retornar mensagem de validação para ID inválido","","2026-07-15","passed","2026-07-15","","Buscar usuário com ID inválido","",""
"","75","CT-API-003 - Deve informar que o ID precisa ter 16 caracteres alfanuméricos","","2026-07-15","passed","2026-07-15","","Validação de formato do ID","",""
"","190","CT-API-005 - Deve atualizar um usuário existente mantendo o mesmo _id","","2026-07-15","passed","2026-07-15","","Atualizar usuário","",""
"","138","CT-API-003 - Deve criar e buscar um usuário pelo ID","","2026-07-15","passed","2026-07-15","","CRUD Usuário - Buscar por ID","",""
"","7225","CT-FE-001 - Deve criar um novo usuário com sucesso","","2026-07-15","passed","2026-07-15","","Cadastro de usuário","",""
"","66","Deve rejeitar login - Senha inválida","","2026-07-15","passed","2026-07-15","","CT-API-009 - Login inválido","",""
"","68","2 - O ID excluído não deve retornar nenhum registro válido","","2026-07-15","passed","2026-07-15","","CT-API-007 - Validar Exclusão do Produto","",""
"","198","CT-API-005 - Deve atualizar os dados do usuário","","2026-07-15","failed","2026-07-15","","Atualizar usuário existente","",""
"","195","CT-API-008 - Deve excluir um usuário e validar que ele não existe mais","","2026-07-15","passed","2026-07-15","","Excluir Usuário (DELETE)","",""
"","68","2 - Deve manter o mesmo ID após a atualização","","2026-07-15","passed","2026-07-15","","CT-API-005 - Validar Atualização do Produto","",""
"","190","CT-API-007 - Deve excluir um usuário e validar que ele não existe mais","","2026-07-15","passed","2026-07-15","","Excluir Usuário (DELETE)","",""
"","87","CT-API-011 - Deve retornar 400 quando o usuário não existir","","2026-07-15","passed","2026-07-15","","Buscar usuário inexistente","",""
"","1331","3 - Deve validar email inválido","","2026-07-15","passed","2026-07-15","","CT-UI-001 - Cadastro de usuário","",""
"","94","3 - Deve localizar um produto com _id válido","","2026-07-15","passed","2026-07-15","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","135","CT-API-005 - Deve retornar 405 Method Not Allowed ao tentar atualizar um usuário com PATCH","","2026-07-15","passed","2026-07-15","","Atualizar usuário com PATCH","",""
"","62","1 - Deve buscar um produto pelo ID com sucesso","","2026-07-15","passed","2026-07-15","","CT-API-002 - Buscar Produto por ID","",""
"","115","2 - O produto não deve mais existir após a exclusão","","2026-07-15","passed","2026-07-15","","CT-API-006 - Excluir Produto","",""
"","166","CT-API-006 - Deve retornar os dados atualizados do usuário","","2026-07-15","failed","2026-07-15","","Validar alteração do usuário","",""
"","953","4 - Deve validar email inválido","","2026-07-15","passed","2026-07-15","","CT-UI-002 - Login de usuário","",""
"","955","6 - Deve validar senha obrigatória","","2026-07-15","passed","2026-07-15","","CT-UI-002 - Login de usuário","",""
"","222","CT-API-005 - Deve atualizar apenas o e-mail de um usuário existente mantendo o mesmo _id","","2026-07-15","failed","2026-07-15","","Atualizar usuário com PATCH","",""
