"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","CT-API-005 - Deve atualizar um usuário existente mantendo o mesmo _id","","2026-09-05","passed","2026-09-05","","Atualizar usuário","",""
"","5802","1 - Deve criar um novo usuário com sucesso","","2026-09-05","passed","2026-09-05","","CT-UI-001 - Cadastro de usuário","",""
"","1448","2 - Deve informar que o usuário não foi encontrado","","2026-09-05","passed","2026-09-05","","CT-UI-002 - Login de usuário","",""
"","105","1 - Deve listar todos os produtos","","2026-09-05","passed","2026-09-05","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","1189","3 - Deve validar email inválido","","2026-09-05","passed","2026-09-05","","CT-UI-001 - Cadastro de usuário","",""
"","292","CT-API-005 - Deve atualizar apenas o e-mail de um usuário existente mantendo o mesmo _id","","2026-09-05","failed","2026-09-05","","Atualizar usuário com PATCH","",""
"","234","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-09-05","passed","2026-09-05","","Listar usuários","",""
"","279","CT-API-007 - Deve excluir um usuário e validar que ele não existe mais","","2026-09-05","passed","2026-09-05","","Excluir Usuário (DELETE)","",""
"","114","CT-API-003 - Deve informar que o ID precisa ter 16 caracteres alfanuméricos","","2026-09-05","passed","2026-09-05","","Validação de formato do ID","",""
"","119","2 - O ID excluído não deve retornar nenhum registro válido","","2026-09-05","passed","2026-09-05","","CT-API-007 - Validar Exclusão do Produto","",""
"","106","CT-API-001 - Deve criar um novo usuário","","2026-09-05","passed","2026-09-05","","Cadastro de usuário com e-mail dinâmico","",""
"","6336","CT-FE-001 - Deve criar um novo usuário com sucesso","","2026-09-05","passed","2026-09-05","","Cadastro de usuário","",""
"","108","CT-API-003 - Deve retornar mensagem de validação para ID inválido","","2026-09-05","passed","2026-09-05","","Buscar usuário com ID inválido","",""
"","112","CT-API-011 - Deve retornar 400 quando o usuário não existir","","2026-09-05","passed","2026-09-05","","Buscar usuário inexistente","",""
"","108","2 - Deve retornar todos os campos do produto","","2026-09-05","passed","2026-09-05","","CT-API-002 - Buscar Produto por ID","",""
"","98","2 - Deve manter o mesmo ID após a atualização","","2026-09-05","passed","2026-09-05","","CT-API-005 - Validar Atualização do Produto","",""
"","1575","1 - Deve realizar login com sucesso","","2026-09-05","passed","2026-09-05","","CT-UI-002 - Login de usuário","",""
"","1328","3 - Deve informar senha incorreta","","2026-09-05","passed","2026-09-05","","CT-UI-002 - Login de usuário","",""
"","100","2 - Não deve permitir cadastro sem token","","2026-09-05","passed","2026-09-05","","CT-API-001 - Cadastro de Produtos","",""
"","107","5 - Deve permitir cadastrar produto sem estoque","","2026-09-05","passed","2026-09-05","","CT-API-001 - Cadastro de Produtos","",""
"","614","5 - Deve validar email obrigatório","","2026-09-05","passed","2026-09-05","","CT-UI-002 - Login de usuário","",""
"","238","CT-API-002 - Deve realizar login com sucesso","","2026-09-05","failed","2026-09-05","","Login de usuário","",""
"","92","1 - Deve consultar o produto atualizado","","2026-09-05","passed","2026-09-05","","CT-API-005 - Validar Atualização do Produto","",""
"","184","CT-API-006 - Deve retornar os dados atualizados do usuário","","2026-09-05","failed","2026-09-05","","Validar alteração do usuário","",""
"","245","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-09-05","failed","2026-09-05","","Cadastro de usuário","",""
"","195","CT-API-010 - Deve criar usuário e rejeitar segundo cadastro com e-mail duplicado","","2026-09-05","passed","2026-09-05","","CT-API-010 - Cadastro de Usuário com E-mail Duplicado","",""
"","220","CT-API-005 - Deve atualizar os dados do usuário","","2026-09-05","failed","2026-09-05","","Atualizar usuário existente","",""
"","286","CT-API-008 - Deve excluir um usuário e validar que ele não existe mais","","2026-09-05","passed","2026-09-05","","Excluir Usuário (DELETE)","",""
"","1172","4 - Deve validar senha obrigatória","","2026-09-05","passed","2026-09-05","","CT-UI-001 - Cadastro de usuário","",""
"","107","4 - Os dados do produto localizado devem corresponder ao cadastro","","2026-09-05","passed","2026-09-05","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","106","3 - Deve localizar um produto com _id válido","","2026-09-05","passed","2026-09-05","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","198","3 - Não deve permitir cadastrar produto com nome duplicado","","2026-09-05","passed","2026-09-05","","CT-API-001 - Cadastro de Produtos","",""
"","202","CT-API-003 - Deve criar e buscar um usuário pelo ID","","2026-09-05","passed","2026-09-05","","CRUD Usuário - Buscar por ID","",""
"","93","1 - Deve buscar um produto pelo ID com sucesso","","2026-09-05","passed","2026-09-05","","CT-API-002 - Buscar Produto por ID","",""
"","106","2 - Deve localizar o produto pelo nome","","2026-09-05","passed","2026-09-05","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","182","CT-API-001.2 - Cadastro com campos vazios","","2026-09-05","failed","2026-09-05","","Cadastro de usuário","",""
"","207","2 - O produto não deve mais existir após a exclusão","","2026-09-05","passed","2026-09-05","","CT-API-006 - Excluir Produto","",""
"","1688","2 - Não deve permitir email já cadastrado","","2026-09-05","passed","2026-09-05","","CT-UI-001 - Cadastro de usuário","",""
"","968","4 - Deve validar email inválido","","2026-09-05","passed","2026-09-05","","CT-UI-002 - Login de usuário","",""
"","1078","6 - Deve validar senha obrigatória","","2026-09-05","passed","2026-09-05","","CT-UI-002 - Login de usuário","",""
"","101","4 - Não deve permitir preço negativo","","2026-09-05","passed","2026-09-05","","CT-API-001 - Cadastro de Produtos","",""
"","105","3 - Nenhum valor antigo deve permanecer após a atualização","","2026-09-05","passed","2026-09-05","","CT-API-005 - Validar Atualização do Produto","",""
"","103","3 - O ID retornado deve ser o mesmo informado na requisição","","2026-09-05","passed","2026-09-05","","CT-API-002 - Buscar Produto por ID","",""
"","110","Deve rejeitar login - Senha inválida","","2026-09-05","passed","2026-09-05","","CT-API-009 - Login inválido","",""
"","101","1 - Deve cadastrar um produto com sucesso","","2026-09-05","passed","2026-09-05","","CT-API-001 - Cadastro de Produtos","",""
"","142","Deve rejeitar login - E-mail inválido","","2026-09-05","passed","2026-09-05","","CT-API-009 - Login inválido","",""
"","89","1 - Deve excluir um produto com sucesso","","2026-09-05","passed","2026-09-05","","CT-API-006 - Excluir Produto","",""
"","87","1 - Deve confirmar que o produto foi removido com sucesso","","2026-09-05","passed","2026-09-05","","CT-API-007 - Validar Exclusão do Produto","",""
"","257","CT-API-005 - Deve retornar 405 Method Not Allowed ao tentar atualizar um usuário com PATCH","","2026-09-05","passed","2026-09-05","","Atualizar usuário com PATCH","",""
