"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","129","CT-API-010 - Deve criar usuário e rejeitar segundo cadastro com e-mail duplicado","","2026-08-15","passed","2026-08-15","","CT-API-010 - Cadastro de Usuário com E-mail Duplicado","",""
"","65","3 - O ID retornado deve ser o mesmo informado na requisição","","2026-08-15","passed","2026-08-15","","CT-API-002 - Buscar Produto por ID","",""
"","899","6 - Deve validar senha obrigatória","","2026-08-15","passed","2026-08-15","","CT-UI-002 - Login de usuário","",""
"","60","1 - Deve consultar o produto atualizado","","2026-08-15","passed","2026-08-15","","CT-API-005 - Validar Atualização do Produto","",""
"","1119","3 - Deve informar senha incorreta","","2026-08-15","passed","2026-08-15","","CT-UI-002 - Login de usuário","",""
"","169","CT-API-005 - Deve retornar 405 Method Not Allowed ao tentar atualizar um usuário com PATCH","","2026-08-15","passed","2026-08-15","","Atualizar usuário com PATCH","",""
"","1648","1 - Deve realizar login com sucesso","","2026-08-15","passed","2026-08-15","","CT-UI-002 - Login de usuário","",""
"","224","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-08-15","passed","2026-08-15","","Listar usuários","",""
"","6878","CT-FE-001 - Deve criar um novo usuário com sucesso","","2026-08-15","passed","2026-08-15","","Cadastro de usuário","",""
"","63","2 - Não deve permitir cadastro sem token","","2026-08-15","passed","2026-08-15","","CT-API-001 - Cadastro de Produtos","",""
"","5917","1 - Deve criar um novo usuário com sucesso","","2026-08-15","passed","2026-08-15","","CT-UI-001 - Cadastro de usuário","",""
"","71","CT-API-001 - Deve criar um novo usuário","","2026-08-15","passed","2026-08-15","","Cadastro de usuário com e-mail dinâmico","",""
"","61","3 - Nenhum valor antigo deve permanecer após a atualização","","2026-08-15","passed","2026-08-15","","CT-API-005 - Validar Atualização do Produto","",""
"","75","2 - O ID excluído não deve retornar nenhum registro válido","","2026-08-15","passed","2026-08-15","","CT-API-007 - Validar Exclusão do Produto","",""
"","121","2 - O produto não deve mais existir após a exclusão","","2026-08-15","passed","2026-08-15","","CT-API-006 - Excluir Produto","",""
"","62","2 - Deve manter o mesmo ID após a atualização","","2026-08-15","passed","2026-08-15","","CT-API-005 - Validar Atualização do Produto","",""
"","187","CT-API-005 - Deve atualizar os dados do usuário","","2026-08-15","failed","2026-08-15","","Atualizar usuário existente","",""
"","125","CT-API-003 - Deve criar e buscar um usuário pelo ID","","2026-08-15","passed","2026-08-15","","CRUD Usuário - Buscar por ID","",""
"","905","4 - Deve validar email inválido","","2026-08-15","passed","2026-08-15","","CT-UI-002 - Login de usuário","",""
"","157","CT-API-006 - Deve retornar os dados atualizados do usuário","","2026-08-15","failed","2026-08-15","","Validar alteração do usuário","",""
"","57","1 - Deve excluir um produto com sucesso","","2026-08-15","passed","2026-08-15","","CT-API-006 - Excluir Produto","",""
"","70","Deve rejeitar login - Senha inválida","","2026-08-15","passed","2026-08-15","","CT-API-009 - Login inválido","",""
"","243","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-08-15","failed","2026-08-15","","Cadastro de usuário","",""
"","54","1 - Deve buscar um produto pelo ID com sucesso","","2026-08-15","passed","2026-08-15","","CT-API-002 - Buscar Produto por ID","",""
"","1249","2 - Deve informar que o usuário não foi encontrado","","2026-08-15","passed","2026-08-15","","CT-UI-002 - Login de usuário","",""
"","169","CT-API-008 - Deve excluir um usuário e validar que ele não existe mais","","2026-08-15","passed","2026-08-15","","Excluir Usuário (DELETE)","",""
"","228","CT-API-005 - Deve atualizar apenas o e-mail de um usuário existente mantendo o mesmo _id","","2026-08-15","failed","2026-08-15","","Atualizar usuário com PATCH","",""
"","174","CT-API-007 - Deve excluir um usuário e validar que ele não existe mais","","2026-08-15","passed","2026-08-15","","Excluir Usuário (DELETE)","",""
"","66","5 - Deve permitir cadastrar produto sem estoque","","2026-08-15","passed","2026-08-15","","CT-API-001 - Cadastro de Produtos","",""
"","47","1 - Deve confirmar que o produto foi removido com sucesso","","2026-08-15","passed","2026-08-15","","CT-API-007 - Validar Exclusão do Produto","",""
"","76","CT-API-003 - Deve retornar mensagem de validação para ID inválido","","2026-08-15","passed","2026-08-15","","Buscar usuário com ID inválido","",""
"","181","CT-API-005 - Deve atualizar um usuário existente mantendo o mesmo _id","","2026-08-15","passed","2026-08-15","","Atualizar usuário","",""
