"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","CT-API-005 - Deve atualizar os dados do usuário","","2026-07-21","failed","2026-07-21","","Atualizar usuário existente","",""
"","58","1 - Deve excluir um produto com sucesso","","2026-07-21","passed","2026-07-21","","CT-API-006 - Excluir Produto","",""
"","61","1 - Deve confirmar que o produto foi removido com sucesso","","2026-07-21","passed","2026-07-21","","CT-API-007 - Validar Exclusão do Produto","",""
"","70","3 - O ID retornado deve ser o mesmo informado na requisição","","2026-07-21","passed","2026-07-21","","CT-API-002 - Buscar Produto por ID","",""
"","72","1 - Deve consultar o produto atualizado","","2026-07-21","passed","2026-07-21","","CT-API-005 - Validar Atualização do Produto","",""
"","622","5 - Deve validar email obrigatório","","2026-07-21","passed","2026-07-21","","CT-UI-002 - Login de usuário","",""
"","76","2 - Não deve permitir cadastro sem token","","2026-07-21","passed","2026-07-21","","CT-API-001 - Cadastro de Produtos","",""
"","75","4 - Os dados do produto localizado devem corresponder ao cadastro","","2026-07-21","passed","2026-07-21","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","135","CT-API-003 - Deve criar e buscar um usuário pelo ID","","2026-07-21","passed","2026-07-21","","CRUD Usuário - Buscar por ID","",""
"","2497","1 - Deve realizar login com sucesso","","2026-07-21","passed","2026-07-21","","CT-UI-002 - Login de usuário","",""
"","78","2 - Deve retornar todos os campos do produto","","2026-07-21","passed","2026-07-21","","CT-API-002 - Buscar Produto por ID","",""
"","69","Deve rejeitar login - Senha inválida","","2026-07-21","passed","2026-07-21","","CT-API-009 - Login inválido","",""
"","910","4 - Deve validar email inválido","","2026-07-21","passed","2026-07-21","","CT-UI-002 - Login de usuário","",""
"","1310","2 - Deve informar que o usuário não foi encontrado","","2026-07-21","passed","2026-07-21","","CT-UI-002 - Login de usuário","",""
"","76","Deve rejeitar login - E-mail inválido","","2026-07-21","passed","2026-07-21","","CT-API-009 - Login inválido","",""
"","77","CT-API-001 - Deve criar um novo usuário","","2026-07-21","passed","2026-07-21","","Cadastro de usuário com e-mail dinâmico","",""
"","1156","3 - Deve informar senha incorreta","","2026-07-21","passed","2026-07-21","","CT-UI-002 - Login de usuário","",""
"","1288","3 - Deve validar email inválido","","2026-07-21","passed","2026-07-21","","CT-UI-001 - Cadastro de usuário","",""
"","63","1 - Deve buscar um produto pelo ID com sucesso","","2026-07-21","passed","2026-07-21","","CT-API-002 - Buscar Produto por ID","",""
"","160","CT-API-001.2 - Cadastro com campos vazios","","2026-07-21","failed","2026-07-21","","Cadastro de usuário","",""
"","5874","CT-FE-001 - Deve criar um novo usuário com sucesso","","2026-07-21","passed","2026-07-21","","Cadastro de usuário","",""
"","1202","4 - Deve validar senha obrigatória","","2026-07-21","passed","2026-07-21","","CT-UI-001 - Cadastro de usuário","",""
"","158","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-07-21","passed","2026-07-21","","Listar usuários","",""
"","63","1 - Deve listar todos os produtos","","2026-07-21","passed","2026-07-21","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","228","CT-API-005 - Deve atualizar apenas o e-mail de um usuário existente mantendo o mesmo _id","","2026-07-21","failed","2026-07-21","","Atualizar usuário com PATCH","",""
"","79","4 - Não deve permitir preço negativo","","2026-07-21","passed","2026-07-21","","CT-API-001 - Cadastro de Produtos","",""
"","75","2 - O ID excluído não deve retornar nenhum registro válido","","2026-07-21","passed","2026-07-21","","CT-API-007 - Validar Exclusão do Produto","",""
"","198","CT-API-005 - Deve atualizar um usuário existente mantendo o mesmo _id","","2026-07-21","passed","2026-07-21","","Atualizar usuário","",""
