"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60","1 - Deve listar todos os produtos","","2026-09-12","passed","2026-09-12","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","123","3 - Não deve permitir cadastrar produto com nome duplicado","","2026-09-12","passed","2026-09-12","","CT-API-001 - Cadastro de Produtos","",""
"","84","4 - Os dados do produto localizado devem corresponder ao cadastro","","2026-09-12","passed","2026-09-12","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","614","5 - Deve validar email obrigatório","","2026-09-12","passed","2026-09-12","","CT-UI-002 - Login de usuário","",""
"","68","4 - Não deve permitir preço negativo","","2026-09-12","passed","2026-09-12","","CT-API-001 - Cadastro de Produtos","",""
"","81","CT-API-002 - Deve realizar login com sucesso","","2026-09-12","passed","2026-09-12","","Login de usuário","",""
"","82","Deve rejeitar login - E-mail inválido","","2026-09-12","passed","2026-09-12","","CT-API-009 - Login inválido","",""
"","58","1 - Deve buscar um produto pelo ID com sucesso","","2026-09-12","passed","2026-09-12","","CT-API-002 - Buscar Produto por ID","",""
"","174","CT-API-008 - Deve excluir um usuário e validar que ele não existe mais","","2026-09-12","passed","2026-09-12","","Excluir Usuário (DELETE)","",""
"","135","CT-API-003 - Deve criar e buscar um usuário pelo ID","","2026-09-12","passed","2026-09-12","","CRUD Usuário - Buscar por ID","",""
"","199","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-09-12","failed","2026-09-12","","Cadastro de usuário","",""
"","130","CT-API-005 - Deve retornar 405 Method Not Allowed ao tentar atualizar um usuário com PATCH","","2026-09-12","passed","2026-09-12","","Atualizar usuário com PATCH","",""
"","71","Deve rejeitar login - Senha inválida","","2026-09-12","passed","2026-09-12","","CT-API-009 - Login inválido","",""
"","132","2 - O produto não deve mais existir após a exclusão","","2026-09-12","passed","2026-09-12","","CT-API-006 - Excluir Produto","",""
"","68","2 - Não deve permitir cadastro sem token","","2026-09-12","passed","2026-09-12","","CT-API-001 - Cadastro de Produtos","",""
"","1727","2 - Não deve permitir email já cadastrado","","2026-09-12","passed","2026-09-12","","CT-UI-001 - Cadastro de usuário","",""
"","1195","4 - Deve validar senha obrigatória","","2026-09-12","passed","2026-09-12","","CT-UI-001 - Cadastro de usuário","",""
"","5906","1 - Deve criar um novo usuário com sucesso","","2026-09-12","passed","2026-09-12","","CT-UI-001 - Cadastro de usuário","",""
"","156","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-09-12","passed","2026-09-12","","Listar usuários","",""
"","1286","3 - Deve validar email inválido","","2026-09-12","passed","2026-09-12","","CT-UI-001 - Cadastro de usuário","",""
"","73","5 - Deve permitir cadastrar produto sem estoque","","2026-09-12","passed","2026-09-12","","CT-API-001 - Cadastro de Produtos","",""
