"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","204","2 - O produto não deve mais existir após a exclusão","","2026-08-27","passed","2026-08-27","","CT-API-006 - Excluir Produto","",""
"","131","5 - Deve permitir cadastrar produto sem estoque","","2026-08-27","passed","2026-08-27","","CT-API-001 - Cadastro de Produtos","",""
"","201","4 - Os dados do produto localizado devem corresponder ao cadastro","","2026-08-27","passed","2026-08-27","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","105","3 - O ID retornado deve ser o mesmo informado na requisição","","2026-08-27","passed","2026-08-27","","CT-API-002 - Buscar Produto por ID","",""
"","108","1 - Deve buscar um produto pelo ID com sucesso","","2026-08-27","passed","2026-08-27","","CT-API-002 - Buscar Produto por ID","",""
"","218","3 - Não deve permitir cadastrar produto com nome duplicado","","2026-08-27","passed","2026-08-27","","CT-API-001 - Cadastro de Produtos","",""
"","114","2 - Deve retornar todos os campos do produto","","2026-08-27","passed","2026-08-27","","CT-API-002 - Buscar Produto por ID","",""
"","251","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-08-27","passed","2026-08-27","","Listar usuários","",""
"","113","1 - Deve consultar o produto atualizado","","2026-08-27","passed","2026-08-27","","CT-API-005 - Validar Atualização do Produto","",""
"","511","5 - Deve validar email obrigatório","","2026-08-27","passed","2026-08-27","","CT-UI-002 - Login de usuário","",""
"","108","1 - Deve cadastrar um produto com sucesso","","2026-08-27","passed","2026-08-27","","CT-API-001 - Cadastro de Produtos","",""
"","1600","2 - Não deve permitir email já cadastrado","","2026-08-27","passed","2026-08-27","","CT-UI-001 - Cadastro de usuário","",""
"","127","2 - Deve manter o mesmo ID após a atualização","","2026-08-27","passed","2026-08-27","","CT-API-005 - Validar Atualização do Produto","",""
"","320","CT-API-007 - Deve excluir um usuário e validar que ele não existe mais","","2026-08-27","passed","2026-08-27","","Excluir Usuário (DELETE)","",""
"","117","CT-API-011 - Deve retornar 400 quando o usuário não existir","","2026-08-27","passed","2026-08-27","","Buscar usuário inexistente","",""
"","111","2 - Não deve permitir cadastro sem token","","2026-08-27","passed","2026-08-27","","CT-API-001 - Cadastro de Produtos","",""
"","217","CT-API-003 - Deve criar e buscar um usuário pelo ID","","2026-08-27","passed","2026-08-27","","CRUD Usuário - Buscar por ID","",""
"","118","CT-API-002 - Deve realizar login com sucesso","","2026-08-27","passed","2026-08-27","","Login de usuário","",""
"","786","6 - Deve validar senha obrigatória","","2026-08-27","passed","2026-08-27","","CT-UI-002 - Login de usuário","",""
"","108","Deve rejeitar login - Senha inválida","","2026-08-27","passed","2026-08-27","","CT-API-009 - Login inválido","",""
"","767","4 - Deve validar email inválido","","2026-08-27","passed","2026-08-27","","CT-UI-002 - Login de usuário","",""
"","115","CT-API-001 - Deve criar um novo usuário","","2026-08-27","passed","2026-08-27","","Cadastro de usuário com e-mail dinâmico","",""
"","114","4 - Não deve permitir preço negativo","","2026-08-27","passed","2026-08-27","","CT-API-001 - Cadastro de Produtos","",""
"","131","3 - Nenhum valor antigo deve permanecer após a atualização","","2026-08-27","passed","2026-08-27","","CT-API-005 - Validar Atualização do Produto","",""
"","118","1 - Deve excluir um produto com sucesso","","2026-08-27","passed","2026-08-27","","CT-API-006 - Excluir Produto","",""
"","5860","1 - Deve criar um novo usuário com sucesso","","2026-08-27","passed","2026-08-27","","CT-UI-001 - Cadastro de usuário","",""
"","214","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-08-27","failed","2026-08-27","","Cadastro de usuário","",""
"","336","CT-API-005 - Deve atualizar um usuário existente mantendo o mesmo _id","","2026-08-27","passed","2026-08-27","","Atualizar usuário","",""
"","1072","2 - Deve informar que o usuário não foi encontrado","","2026-08-27","passed","2026-08-27","","CT-UI-002 - Login de usuário","",""
"","95","1 - Deve confirmar que o produto foi removido com sucesso","","2026-08-27","passed","2026-08-27","","CT-API-007 - Validar Exclusão do Produto","",""
"","1603","1 - Deve realizar login com sucesso","","2026-08-27","passed","2026-08-27","","CT-UI-002 - Login de usuário","",""
"","221","CT-API-005 - Deve retornar 405 Method Not Allowed ao tentar atualizar um usuário com PATCH","","2026-08-27","passed","2026-08-27","","Atualizar usuário com PATCH","",""
"","119","2 - O ID excluído não deve retornar nenhum registro válido","","2026-08-27","passed","2026-08-27","","CT-API-007 - Validar Exclusão do Produto","",""
"","6928","CT-FE-001 - Deve criar um novo usuário com sucesso","","2026-08-27","passed","2026-08-27","","Cadastro de usuário","",""
"","218","2 - Deve localizar o produto pelo nome","","2026-08-27","passed","2026-08-27","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","212","CT-API-006 - Deve retornar os dados atualizados do usuário","","2026-08-27","failed","2026-08-27","","Validar alteração do usuário","",""
"","306","CT-API-008 - Deve excluir um usuário e validar que ele não existe mais","","2026-08-27","passed","2026-08-27","","Excluir Usuário (DELETE)","",""
"","116","CT-API-003 - Deve informar que o ID precisa ter 16 caracteres alfanuméricos","","2026-08-27","passed","2026-08-27","","Validação de formato do ID","",""
"","225","CT-API-010 - Deve criar usuário e rejeitar segundo cadastro com e-mail duplicado","","2026-08-27","passed","2026-08-27","","CT-API-010 - Cadastro de Usuário com E-mail Duplicado","",""
