"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1128","3 - Deve validar email inválido","","2026-07-31","passed","2026-07-31","","CT-UI-001 - Cadastro de usuário","",""
"","272","CT-API-008 - Deve excluir um usuário e validar que ele não existe mais","","2026-07-31","passed","2026-07-31","","Excluir Usuário (DELETE)","",""
"","5975","1 - Deve criar um novo usuário com sucesso","","2026-07-31","passed","2026-07-31","","CT-UI-001 - Cadastro de usuário","",""
"","95","4 - Não deve permitir preço negativo","","2026-07-31","passed","2026-07-31","","CT-API-001 - Cadastro de Produtos","",""
"","189","CT-API-010 - Deve criar usuário e rejeitar segundo cadastro com e-mail duplicado","","2026-07-31","passed","2026-07-31","","CT-API-010 - Cadastro de Usuário com E-mail Duplicado","",""
"","91","5 - Deve permitir cadastrar produto sem estoque","","2026-07-31","passed","2026-07-31","","CT-API-001 - Cadastro de Produtos","",""
"","101","4 - Os dados do produto localizado devem corresponder ao cadastro","","2026-07-31","passed","2026-07-31","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","1021","3 - Deve informar senha incorreta","","2026-07-31","passed","2026-07-31","","CT-UI-002 - Login de usuário","",""
"","197","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-07-31","failed","2026-07-31","","Cadastro de usuário","",""
"","178","3 - Não deve permitir cadastrar produto com nome duplicado","","2026-07-31","passed","2026-07-31","","CT-API-001 - Cadastro de Produtos","",""
"","185","2 - O produto não deve mais existir após a exclusão","","2026-07-31","passed","2026-07-31","","CT-API-006 - Excluir Produto","",""
"","207","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-07-31","passed","2026-07-31","","Listar usuários","",""
"","190","CT-API-003 - Deve criar e buscar um usuário pelo ID","","2026-07-31","passed","2026-07-31","","CRUD Usuário - Buscar por ID","",""
"","97","2 - Deve retornar todos os campos do produto","","2026-07-31","passed","2026-07-31","","CT-API-002 - Buscar Produto por ID","",""
"","270","CT-API-011 - Deve retornar 400 quando o usuário não existir","","2026-07-31","passed","2026-07-31","","Buscar usuário inexistente","",""
"","101","CT-API-002 - Deve realizar login com sucesso","","2026-07-31","passed","2026-07-31","","Login de usuário","",""
"","5626","CT-FE-001 - Deve criar um novo usuário com sucesso","","2026-07-31","passed","2026-07-31","","Cadastro de usuário","",""
"","85","1 - Deve consultar o produto atualizado","","2026-07-31","passed","2026-07-31","","CT-API-005 - Validar Atualização do Produto","",""
