"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","2 - O produto não deve mais existir após a exclusão","","2026-08-30","passed","2026-08-30","","CT-API-006 - Excluir Produto","",""
"","131","CT-API-006 - Deve retornar os dados atualizados do usuário","","2026-08-30","failed","2026-08-30","","Validar alteração do usuário","",""
"","70","2 - Deve retornar todos os campos do produto","","2026-08-30","passed","2026-08-30","","CT-API-002 - Buscar Produto por ID","",""
"","137","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-08-30","passed","2026-08-30","","Listar usuários","",""
"","173","CT-API-007 - Deve excluir um usuário e validar que ele não existe mais","","2026-08-30","passed","2026-08-30","","Excluir Usuário (DELETE)","",""
"","69","2 - Não deve permitir cadastro sem token","","2026-08-30","passed","2026-08-30","","CT-API-001 - Cadastro de Produtos","",""
"","62","3 - Nenhum valor antigo deve permanecer após a atualização","","2026-08-30","passed","2026-08-30","","CT-API-005 - Validar Atualização do Produto","",""
"","162","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-08-30","failed","2026-08-30","","Cadastro de usuário","",""
"","180","CT-API-008 - Deve excluir um usuário e validar que ele não existe mais","","2026-08-30","passed","2026-08-30","","Excluir Usuário (DELETE)","",""
"","71","CT-API-003 - Deve informar que o ID precisa ter 16 caracteres alfanuméricos","","2026-08-30","passed","2026-08-30","","Validação de formato do ID","",""
"","188","CT-API-005 - Deve atualizar um usuário existente mantendo o mesmo _id","","2026-08-30","passed","2026-08-30","","Atualizar usuário","",""
"","6574","CT-FE-001 - Deve criar um novo usuário com sucesso","","2026-08-30","passed","2026-08-30","","Cadastro de usuário","",""
"","207","CT-API-005 - Deve atualizar apenas o e-mail de um usuário existente mantendo o mesmo _id","","2026-08-30","failed","2026-08-30","","Atualizar usuário com PATCH","",""
"","140","CT-API-005 - Deve retornar 405 Method Not Allowed ao tentar atualizar um usuário com PATCH","","2026-08-30","passed","2026-08-30","","Atualizar usuário com PATCH","",""
"","56","1 - Deve consultar o produto atualizado","","2026-08-30","passed","2026-08-30","","CT-API-005 - Validar Atualização do Produto","",""
"","1584","2 - Não deve permitir email já cadastrado","","2026-08-30","passed","2026-08-30","","CT-UI-001 - Cadastro de usuário","",""
"","70","CT-API-011 - Deve retornar 400 quando o usuário não existir","","2026-08-30","passed","2026-08-30","","Buscar usuário inexistente","",""
"","68","Deve rejeitar login - E-mail inválido","","2026-08-30","passed","2026-08-30","","CT-API-009 - Login inválido","",""
"","1048","3 - Deve informar senha incorreta","","2026-08-30","passed","2026-08-30","","CT-UI-002 - Login de usuário","",""
"","130","3 - Não deve permitir cadastrar produto com nome duplicado","","2026-08-30","passed","2026-08-30","","CT-API-001 - Cadastro de Produtos","",""
"","533","5 - Deve validar email obrigatório","","2026-08-30","passed","2026-08-30","","CT-UI-002 - Login de usuário","",""
"","1186","3 - Deve validar email inválido","","2026-08-30","passed","2026-08-30","","CT-UI-001 - Cadastro de usuário","",""
"","1439","1 - Deve realizar login com sucesso","","2026-08-30","passed","2026-08-30","","CT-UI-002 - Login de usuário","",""
"","808","6 - Deve validar senha obrigatória","","2026-08-30","passed","2026-08-30","","CT-UI-002 - Login de usuário","",""
"","61","1 - Deve listar todos os produtos","","2026-08-30","passed","2026-08-30","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
