"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1154","4 - Deve validar senha obrigatória","","2026-08-25","passed","2026-08-25","","CT-UI-001 - Cadastro de usuário","",""
"","80","CT-API-011 - Deve retornar 400 quando o usuário não existir","","2026-08-25","passed","2026-08-25","","Buscar usuário inexistente","",""
"","158","CT-API-006 - Deve retornar os dados atualizados do usuário","","2026-08-25","failed","2026-08-25","","Validar alteração do usuário","",""
"","149","CT-API-003 - Deve criar e buscar um usuário pelo ID","","2026-08-25","passed","2026-08-25","","CRUD Usuário - Buscar por ID","",""
"","216","CT-API-008 - Deve excluir um usuário e validar que ele não existe mais","","2026-08-25","passed","2026-08-25","","Excluir Usuário (DELETE)","",""
"","155","CT-API-010 - Deve criar usuário e rejeitar segundo cadastro com e-mail duplicado","","2026-08-25","passed","2026-08-25","","CT-API-010 - Cadastro de Usuário com E-mail Duplicado","",""
"","83","1 - Deve listar todos os produtos","","2026-08-25","passed","2026-08-25","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","75","1 - Deve cadastrar um produto com sucesso","","2026-08-25","passed","2026-08-25","","CT-API-001 - Cadastro de Produtos","",""
"","229","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-08-25","failed","2026-08-25","","Cadastro de usuário","",""
"","68","1 - Deve consultar o produto atualizado","","2026-08-25","passed","2026-08-25","","CT-API-005 - Validar Atualização do Produto","",""
"","82","5 - Deve permitir cadastrar produto sem estoque","","2026-08-25","passed","2026-08-25","","CT-API-001 - Cadastro de Produtos","",""
"","839","4 - Deve validar email inválido","","2026-08-25","passed","2026-08-25","","CT-UI-002 - Login de usuário","",""
"","78","3 - O ID retornado deve ser o mesmo informado na requisição","","2026-08-25","passed","2026-08-25","","CT-API-002 - Buscar Produto por ID","",""
"","94","2 - O ID excluído não deve retornar nenhum registro válido","","2026-08-25","passed","2026-08-25","","CT-API-007 - Validar Exclusão do Produto","",""
"","5769","1 - Deve criar um novo usuário com sucesso","","2026-08-25","passed","2026-08-25","","CT-UI-001 - Cadastro de usuário","",""
"","78","1 - Deve excluir um produto com sucesso","","2026-08-25","passed","2026-08-25","","CT-API-006 - Excluir Produto","",""
"","1654","2 - Não deve permitir email já cadastrado","","2026-08-25","passed","2026-08-25","","CT-UI-001 - Cadastro de usuário","",""
"","145","2 - O produto não deve mais existir após a exclusão","","2026-08-25","passed","2026-08-25","","CT-API-006 - Excluir Produto","",""
"","86","4 - Os dados do produto localizado devem corresponder ao cadastro","","2026-08-25","passed","2026-08-25","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","226","CT-API-005 - Deve atualizar um usuário existente mantendo o mesmo _id","","2026-08-25","passed","2026-08-25","","Atualizar usuário","",""
"","1316","2 - Deve informar que o usuário não foi encontrado","","2026-08-25","passed","2026-08-25","","CT-UI-002 - Login de usuário","",""
