"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70","2 - O ID excluído não deve retornar nenhum registro válido","","2026-07-17","passed","2026-07-17","","CT-API-007 - Validar Exclusão do Produto","",""
"","64","3 - Nenhum valor antigo deve permanecer após a atualização","","2026-07-17","passed","2026-07-17","","CT-API-005 - Validar Atualização do Produto","",""
"","173","CT-API-006 - Deve retornar os dados atualizados do usuário","","2026-07-17","failed","2026-07-17","","Validar alteração do usuário","",""
"","64","3 - Deve localizar um produto com _id válido","","2026-07-17","passed","2026-07-17","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","159","CT-API-001.2 - Cadastro com campos vazios","","2026-07-17","failed","2026-07-17","","Cadastro de usuário","",""
"","1680","2 - Não deve permitir email já cadastrado","","2026-07-17","passed","2026-07-17","","CT-UI-001 - Cadastro de usuário","",""
"","939","4 - Deve validar email inválido","","2026-07-17","passed","2026-07-17","","CT-UI-002 - Login de usuário","",""
"","52","1 - Deve excluir um produto com sucesso","","2026-07-17","passed","2026-07-17","","CT-API-006 - Excluir Produto","",""
"","5943","CT-FE-001 - Deve criar um novo usuário com sucesso","","2026-07-17","passed","2026-07-17","","Cadastro de usuário","",""
"","133","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-07-17","passed","2026-07-17","","Listar usuários","",""
"","76","CT-API-001 - Deve criar um novo usuário","","2026-07-17","passed","2026-07-17","","Cadastro de usuário com e-mail dinâmico","",""
"","169","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-07-17","failed","2026-07-17","","Cadastro de usuário","",""
"","75","CT-API-003 - Deve informar que o ID precisa ter 16 caracteres alfanuméricos","","2026-07-17","passed","2026-07-17","","Validação de formato do ID","",""
"","63","4 - Não deve permitir preço negativo","","2026-07-17","passed","2026-07-17","","CT-API-001 - Cadastro de Produtos","",""
"","1137","3 - Deve informar senha incorreta","","2026-07-17","passed","2026-07-17","","CT-UI-002 - Login de usuário","",""
"","72","5 - Deve permitir cadastrar produto sem estoque","","2026-07-17","passed","2026-07-17","","CT-API-001 - Cadastro de Produtos","",""
"","172","CT-API-007 - Deve excluir um usuário e validar que ele não existe mais","","2026-07-17","passed","2026-07-17","","Excluir Usuário (DELETE)","",""
"","74","2 - Deve localizar o produto pelo nome","","2026-07-17","passed","2026-07-17","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","67","4 - Os dados do produto localizado devem corresponder ao cadastro","","2026-07-17","passed","2026-07-17","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","175","CT-API-005 - Deve atualizar os dados do usuário","","2026-07-17","failed","2026-07-17","","Atualizar usuário existente","",""
